epoch,phase,loss,time_seconds,avg_accuracy,glioma_accuracy,meningioma_accuracy,no_tumor_accuracy,pituitary_accuracy,avg_precision,glioma_precision,meningioma_precision,no_tumor_precision,pituitary_precision,avg_recall,glioma_recall,meningioma_recall,no_tumor_recall,pituitary_recall,avg_f1,glioma_f1,meningioma_f1,no_tumor_f1,pituitary_f1,avg_auc,glioma_auc,meningioma_auc,no_tumor_auc,pituitary_auc
1,train,0.39650612796346346,7.0984721183776855,0.9446875,0.9485416666666666,0.91125,0.9679166666666666,0.9510416666666667,0.8896048908615721,0.9092609915809168,0.8585365853658536,0.8910318225650916,0.8995901639344263,0.892132277844918,0.8663101604278075,0.8073394495412844,0.9575129533678757,0.9373665480427046,0.8901460596652846,0.8872660885440438,0.8321513002364066,0.9230769230769231,0.9180899268037643,0.979326581368107,0.9808351241035245,0.9576515653078597,0.9940658375610514,0.9847537984999922
2,train,0.1046234313895305,3.7321643829345703,0.9826041666666667,0.9816666666666667,0.9704166666666667,0.9935416666666667,0.9847916666666666,0.9663303216284423,0.9607493309545049,0.946442234123948,0.9864583333333333,0.9716713881019831,0.9659012792549712,0.9607493309545049,0.944996180290298,0.9813471502590674,0.9765124555160143,0.9661124990695287,0.9607493309545049,0.9457186544342507,0.9838961038961039,0.9740859069932553,0.9971554420967925,0.9976751623785602,0.9945132293692457,0.9990593862096453,0.9973739904297192
3,train,0.07685498413319389,3.67868971824646,0.9886458333333333,0.98875,0.9814583333333333,0.9966666666666667,0.9877083333333333,0.9781415824620353,0.9758928571428571,0.9649122807017544,0.9917184265010351,0.9800427655024947,0.9781720754383154,0.9758928571428571,0.9671253822629969,0.9917184265010351,0.9779516358463727,0.978156232903816,0.9758928571428571,0.9660175639557083,0.9917184265010351,0.978996084015664,0.9988359109212072,0.9986379076086956,0.997775605928448,0.999891998259012,0.9990381318886731
4,train,0.03873680765740573,3.6878538131713867,0.9945833333333334,0.995,0.9916666666666667,0.9970833333333333,0.9945833333333334,0.9892804929951394,0.9892857142857143,0.9832572298325722,0.9917269906928645,0.9928520371694067,0.9894849348335661,0.9892857142857143,0.9862595419847329,0.9937823834196892,0.9886120996441281,0.989380741783025,0.9892857142857143,0.9847560975609756,0.9927536231884058,0.9907275320970043,0.9996305469344737,0.9996867721273291,0.9993578162252018,0.9998205781221502,0.9996570212632141
5,train,0.050051960172131656,3.7194864749908447,0.9930208333333332,0.9933333333333333,0.988125,0.9983333333333333,0.9922916666666667,0.9866526151154844,0.9831261101243339,0.9807840122982321,0.9968847352024922,0.9858156028368794,0.9866660583175128,0.9883928571428572,0.9755351681957186,0.9948186528497409,0.9879175550817342,0.9866552699456776,0.9857524487978628,0.9781525488692986,0.995850622406639,0.9868654597089102,0.9991132051565427,0.999353649068323,0.9977812982754816,0.9999902723078273,0.9993276009745387
6,train,0.022480608707604308,3.7176549434661865,0.9957291666666667,0.995625,0.9925,0.9977083333333333,0.9970833333333333,0.991665775957866,0.9910793933987511,0.9840182648401826,0.9958419958419958,0.9957234497505346,0.9914450880837042,0.9901960784313726,0.9885321100917431,0.9927461139896373,0.994306049822064,0.9915533629879761,0.9906375390102541,0.9862700228832952,0.99429164504411,0.9950142450142451,0.9996526437089204,0.9997159969331545,0.9991091476892574,0.9999583870945951,0.9998270431186747
7,train,0.02756232796469703,3.726048231124878,0.9964583333333334,0.996875,0.9945833333333334,0.9985416666666667,0.9958333333333333,0.9931641841600449,0.9955156950672646,0.9908116385911179,0.9948400412796697,0.9914893617021276,0.9931519427138931,0.9910714285714286,0.9892966360856269,0.9979296066252588,0.9943100995732574,0.9931555761457997,0.9932885906040269,0.990053557765876,0.9963824289405685,0.9928977272727273,0.9997126482469539,0.9998524844720497,0.9993118828182197,0.9998134269924431,0.9998727987051034
8,train,0.03043204123309503,3.693098306655884,0.9953125,0.9947916666666666,0.994375,0.9964583333333333,0.995625,0.9905195245658319,0.9892857142857143,0.9878234398782344,0.9906832298136646,0.9942857142857143,0.9906142563985696,0.9884032114183765,0.9915966386554622,0.9917098445595854,0.9907473309608541,0.9905650873257098,0.9888442659526997,0.9897064430041936,0.9911962713619886,0.9925133689839573,0.9995612411480562,0.9994442503307948,0.9993579473923888,0.9996268349197128,0.9998159319493288
9,train,0.01774442305477957,3.687645196914673,0.9979166666666666,0.9985416666666667,0.9970833333333333,0.9997916666666666,0.99625,0.9961997303238157,0.9964317573595004,0.9961685823754789,1.0,0.9921985815602837,0.996107754701066,0.9973214285714286,0.9931245225362872,0.9989637305699481,0.9950213371266002,0.996152542276706,0.9968763944667559,0.9946442234123948,0.9994815966822188,0.9936079545454546,0.9999395243356558,0.999952445652174,0.9999216582026159,0.9999994595726571,0.9998845339151762
10,train,0.006115247253328562,3.6897261142730713,0.9989583333333333,0.9985416666666667,0.9979166666666667,0.9997916666666666,0.9995833333333334,0.9979193138879906,0.9964317573595004,0.9977011494252873,0.9989648033126294,0.9985795454545454,0.9979934587471352,0.9973214285714286,0.9946524064171123,1.0,1.0,0.9979555603292092,0.9968763944667559,0.9961744452945677,0.9994821336095288,0.9992892679459844,0.9999839776990231,0.9999628784937888,0.9999733025159753,0.9999997297863285,1.0
1,val,0.36109810187481345,0.43959522247314453,0.94375,0.9609375,0.9171875,0.990625,0.90625,0.9121520468546714,1.0,0.9104477611940298,0.9913793103448276,0.7467811158798283,0.8909306669812805,0.8626373626373627,0.7484662576687117,0.9583333333333334,0.9942857142857143,0.8938299891303711,0.9262536873156342,0.8215488215488216,0.9745762711864406,0.8529411764705882,0.9900221210962183,0.9951773117711982,0.9676402875847256,0.9996794871794872,0.9975913978494624
2,val,0.17783269500359894,0.3286299705505371,0.971875,0.9640625,0.9671875,0.9875,0.96875,0.9448612831452428,0.9206349206349206,0.9733333333333334,0.9375,0.9479768786127167,0.9472230836648016,0.9560439560439561,0.8957055214723927,1.0,0.9371428571428572,0.9452958525486115,0.9380053908355795,0.9329073482428115,0.967741935483871,0.9425287356321839,0.9943524067870502,0.9945894716637076,0.9881544931897982,0.9996794871794872,0.9949861751152074
3,val,0.3167843273142353,0.33255767822265625,0.9421875000000001,0.9796875,0.8921875,0.9921875,0.9046875,0.9078744564945774,0.9518716577540107,0.719626168224299,0.96,1.0,0.8935589563810422,0.978021978021978,0.9447852760736196,1.0,0.6514285714285715,0.887566236848066,0.964769647696477,0.8169761273209549,0.9795918367346939,0.7889273356401384,0.9925588629482114,0.9973127309371851,0.9738395647644402,0.9999679487179486,0.9991152073732719
4,val,0.0874110515229404,0.34546351432800293,0.99140625,0.9953125,0.9859375,0.9953125,0.9890625,0.9831996307219855,0.9890710382513661,0.9935897435897436,0.9834710743801653,0.9666666666666667,0.9828445302141621,0.9945054945054945,0.950920245398773,0.9916666666666667,0.9942857142857143,0.9828503032835925,0.9917808219178083,0.9717868338557993,0.9875518672199171,0.9802816901408451,0.9994261725971963,0.999916022841787,0.9982508263559311,0.9999679487179487,0.9995698924731183
5,val,0.12173695447854697,0.3323533535003662,0.9898437500000001,0.984375,0.9828125,0.9953125,0.996875,0.980482635279663,0.9574468085106383,0.9810126582278481,0.9834710743801653,1.0,0.9800423324119643,0.989010989010989,0.950920245398773,0.9916666666666667,0.9885714285714285,0.9801274502458808,0.972972972972973,0.9657320872274143,0.9875518672199171,0.9942528735632183,0.9983589900262406,0.999196218628533,0.9951254646242491,0.9993108974358974,0.9998033794162826
