epoch,phase,loss,time_seconds,avg_accuracy,adenocarcinoma_accuracy,benign_accuracy,squamous_cell_carcinoma_accuracy,avg_precision,adenocarcinoma_precision,benign_precision,squamous_cell_carcinoma_precision,avg_recall,adenocarcinoma_recall,benign_recall,squamous_cell_carcinoma_recall,avg_f1,adenocarcinoma_f1,benign_f1,squamous_cell_carcinoma_f1,avg_auc,adenocarcinoma_auc,benign_auc,squamous_cell_carcinoma_auc
1,train,0.1288682511844177,12.51003623008728,0.9762854609929078,0.9656748670212766,0.9931848404255319,0.9699966755319149,0.9645553168653581,0.9612721210566813,0.9885572139303482,0.9438366156090445,0.9644276646370117,0.9346633416458853,0.9910224438902743,0.9675972083748754,0.9643795112147427,0.9477810089771147,0.9897882938978829,0.9555692307692307,0.9955137398833558,0.992838770687343,0.99956189680374,0.9941405521589843
2,train,0.025941399493603967,9.51581358909607,0.9949024822695035,0.9923537234042553,0.999501329787234,0.9928523936170213,0.9923579327620059,0.9902475618904726,0.9992516837116487,0.9875745526838966,0.9923556835340573,0.9867929230002492,0.9992516837116487,0.9910224438902743,0.9923548006750886,0.9885172241637543,0.9992516837116487,0.9892954941498631,0.9996427189348985,0.999424864576086,0.9999489494642291,0.9995543427643805
3,train,0.02735950480332286,9.55547022819519,0.9946808510638299,0.9920212765957447,0.9986702127659575,0.9933510638297872,0.9920206591010811,0.9889917438078559,0.9985044865403788,0.9885657469550087,0.9920165002557534,0.987016229712859,0.9975099601593626,0.9915233108950386,0.9920174316583487,0.9880029992501874,0.9980069755854509,0.9900423201394075,0.999359273502685,0.9988770421674539,0.9998873331524203,0.999313445188181
4,train,0.0066520678280946235,9.374613523483276,0.9987810283687942,0.9981715425531915,1.0,0.9981715425531915,0.9981724561570312,0.9977528089887641,1.0,0.9967645594823296,0.9981717145391479,0.9967572960838115,1.0,0.9977578475336323,0.9981719200893787,0.9972548040928375,1.0,0.9972609561752988,0.9999891423577174,0.9999832733323724,1.0,0.9999841537407799
5,train,0.009852875570783346,8.853976249694824,0.9981161347517732,0.9971742021276596,1.0,0.9971742021276596,0.997173649241836,0.9962602842183994,1.0,0.995260663507109,0.9971741425335393,0.9952677459526774,1.0,0.9962546816479401,0.9971737307539698,0.9957637677547969,1.0,0.9957574245071126,0.9999457736778513,0.9999208717589693,1.0,0.9999164492745847
6,train,0.011571924966351907,8.859883546829224,0.9975066489361702,0.9962599734042553,0.9996675531914894,0.996592420212766,0.9962602177049673,0.9952571143285073,0.9992520568436799,0.9942714819427149,0.9962609465828378,0.99352105656616,0.9997505612372163,0.9955112219451372,0.9962601801121803,0.9943883277216611,0.9995012468827931,0.9948909657320872,0.9999511209000426,0.999921753241981,0.9999995025526356,0.999932106905511
7,train,0.0060646158659979615,8.97754979133606,0.9988364361702127,0.9982546542553191,0.9994182180851063,0.9988364361702128,0.9982545713336538,0.9972568578553616,0.9992520568436799,0.9982547993019197,0.9982544675670004,0.9975056123721626,0.9990029910269193,0.9982547993019197,0.9982545091062244,0.9973812196034418,0.9991275084133118,0.9982547993019197,0.9999877204156621,0.9999753452650022,0.9999967678013342,0.9999910481806499
8,train,0.006895219381515338,8.909974098205566,0.9985039893617021,0.9977559840425532,1.0,0.9977559840425532,0.9977556922362117,0.9972541188217674,1.0,0.9960129578868677,0.9977554862849717,0.9960109698329593,1.0,0.997255489021956,0.9977553309490367,0.9966321566670825,1.0,0.9966338361800274,0.9999732535279359,0.9999597168129248,1.0,0.9999600437708829
9,train,0.007986737842985987,8.94796895980835,0.9986702127659575,0.9980053191489362,1.0,0.9980053191489362,0.9980060767028377,0.9972520609542843,1.0,0.9967661691542289,0.9980054589967287,0.9967540574282148,1.0,0.9972623195619711,0.9980057265451642,0.997002997002997,1.0,0.9970141826324956,0.9999508080797542,0.9999236969734013,1.0,0.9999287272658612
10,train,0.006809186173405636,8.927875518798828,0.9982823581560284,0.9974235372340425,0.999750664893617,0.9976728723404256,0.9974248020078315,0.9967548676984523,0.999750499001996,0.9957690393230463,0.9974238962868466,0.9955123410620793,0.9995011224744326,0.997258225324028,0.9974240293548067,0.9961332169140577,0.9996257951852314,0.9965130759651307,0.9999171227864297,0.9998686755668266,0.9999995958240164,0.9998830969684463
1,val,0.04474148470596143,0.6739315986633301,0.990017361111111,0.9850260416666666,1.0,0.9850260416666666,0.9862850327966607,0.9588550983899821,1.0,1.0,0.9846666666666666,1.0,1.0,0.954,0.9851513267870301,0.9789954337899544,1.0,0.9764585465711362,0.9999810191321385,0.9999720149253732,1.0,0.9999710424710424
2,val,0.012619748909249514,0.5731322765350342,0.997829861111111,0.9967447916666666,1.0,0.9967447916666666,0.9966996699669967,1.0,1.0,0.9900990099009901,0.9968905472636815,0.9906716417910447,1.0,1.0,0.9967796133360066,0.9953139643861293,1.0,0.9950248756218906,0.999979775351044,0.9999682835820896,1.0,0.9999710424710424
3,val,0.08243211093940772,0.5479888916015625,0.9852430555555557,0.9778645833333334,1.0,0.9778645833333334,0.9787765293383272,1.0,1.0,0.9363295880149812,0.9788557213930348,0.9365671641791045,1.0,1.0,0.9781208965811107,0.9672447013487476,1.0,0.9671179883945842,0.9999816842428784,0.9999701492537313,1.0,0.9999749034749035
4,val,9.861984210601804e-05,0.5771803855895996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,val,0.02340368306287625,0.5662283897399902,0.9934895833333334,0.990234375,1.0,0.990234375,0.9902912621359223,1.0,1.0,0.970873786407767,0.9906716417910447,0.9720149253731343,1.0,1.0,0.9903435226568362,0.9858088930936613,1.0,0.9852216748768473,0.9999987346088094,0.9999981343283583,1.0,0.9999980694980696
6,val,0.004803354368969319,0.5615231990814209,0.9991319444444443,0.9986979166666666,1.0,0.9986979166666666,0.9987608426270137,0.9962825278810409,1.0,1.0,0.9986666666666667,1.0,1.0,0.996,0.9987112648636813,0.9981378026070763,1.0,0.9979959919839679,1.0,1.0,1.0,1.0
