epoch,phase,loss,time_seconds,avg_accuracy,COVID19_accuracy,NORMAL_accuracy,PNEUMONIA_accuracy,TURBERCULOSIS_accuracy,avg_precision,COVID19_precision,NORMAL_precision,PNEUMONIA_precision,TURBERCULOSIS_precision,avg_recall,COVID19_recall,NORMAL_recall,PNEUMONIA_recall,TURBERCULOSIS_recall,avg_f1,COVID19_f1,NORMAL_f1,PNEUMONIA_f1,TURBERCULOSIS_f1,avg_auc,COVID19_auc,NORMAL_auc,PNEUMONIA_auc,TURBERCULOSIS_auc
1,train,0.36421195310023097,7.609944581985474,0.9589409722222223,0.9725694444444445,0.9472222222222222,0.9392361111111112,0.9767361111111111,0.8849084706356726,0.8399122807017544,0.8790007806401249,0.9508578075021809,0.8698630136986302,0.886647814852916,0.8183760683760684,0.8831372549019608,0.9475514343668502,0.8975265017667845,0.8856871235706925,0.829004329004329,0.8810641627543035,0.9492017416545718,0.8834782608695653,0.9800083078149421,0.9790572449302608,0.9765050385817649,0.9768006812946053,0.9876702664531375
2,train,0.11359573871725136,4.22005820274353,0.9842881944444444,0.9930555555555556,0.9753472222222223,0.9746527777777778,0.9940972222222222,0.9644630968043947,0.9586056644880174,0.9545091779728652,0.974719908072393,0.9700176366843033,0.9603258395105742,0.9544468546637744,0.9336455893832943,0.9831932773109243,0.9700176366843033,0.962359937101189,0.9565217391304348,0.9439621152328335,0.9789382573571841,0.9700176366843033,0.9965288735027884,0.996785297762153,0.9947837065643661,0.9958309483797103,0.9987155413049243
3,train,0.08500472554523084,4.121784687042236,0.9875868055555557,0.9939236111111112,0.9800347222222222,0.9800347222222222,0.9963541666666667,0.9728219518040788,0.9692982456140351,0.959022852639874,0.9806972054163066,0.9822695035460993,0.9680127173355687,0.9546436285097192,0.95078125,0.9860950173812283,0.9805309734513274,0.9703968915879312,0.9619151251360174,0.9548842683405256,0.9833887043189369,0.9813994685562445,0.9974677398514518,0.995726420798928,0.9972037179129465,0.9973963301609998,0.9995444905329325
4,train,0.06790277802695831,4.113292932510376,0.9894097222222222,0.9942708333333333,0.9833333333333333,0.9835069444444444,0.9965277777777778,0.9747589748064062,0.9654427645788337,0.964594807238395,0.9849841178169217,0.9840142095914742,0.9728765887849911,0.9633620689655172,0.9600626468285043,0.9875506658946149,0.9805309734513274,0.9738149777682934,0.9644012944983819,0.9623233908948194,0.9862657221338731,0.9822695035460993,0.9984587872510251,0.9984764037920616,0.9974489898408518,0.9982361413618007,0.9996736140093861
5,train,0.04071436649861021,4.129239797592163,0.9934027777777776,0.9986111111111111,0.9883680555555555,0.9880208333333333,0.9986111111111111,0.988639578268967,0.9913793103448276,0.9817024661893397,0.986739694436437,0.9947368421052631,0.9853837128760057,0.9913793103448276,0.9655712050078247,0.9933255948926292,0.9912587412587412,0.986991442025552,0.9913793103448276,0.9735700197238659,0.9900216919739696,0.9929947460595446,0.9986171661512704,0.9982586890561517,0.9987948664768621,0.9988344684328303,0.9985806406392375
6,train,0.03925704429857433,4.348573207855225,0.994357638888889,0.9975694444444444,0.9907986111111111,0.9901041666666667,0.9989583333333333,0.9881885170475249,0.9849137931034483,0.9803459119496856,0.9910404624277457,0.9964539007092199,0.9870901363413712,0.9849137931034483,0.9780392156862745,0.9924746743849493,0.9929328621908127,0.9876380784553324,0.9849137931034483,0.9791912053396152,0.9917570498915401,0.9946902654867257,0.9994045086246832,0.9990819356182937,0.9993860143834568,0.9992160752909267,0.9999340092060559
7,train,0.031491238795893474,4.357884645462036,0.9941840277777778,0.9958333333333333,0.9920138888888889,0.9899305555555555,0.9989583333333333,0.986795653536433,0.9761904761904762,0.98203125,0.9907434191495517,0.9982174688057041,0.9844076007491416,0.9719827586206896,0.98203125,0.9924659518980006,0.9911504424778761,0.9855971660237733,0.9740820734341252,0.98203125,0.99160393746381,0.9946714031971581,0.9997095967442227,0.9997721116782998,0.9995743233816965,0.9995083052859439,0.9999836466309505
8,train,0.028411589220114466,4.348373174667358,0.9956597222222222,0.9977430555555555,0.9925347222222223,0.9930555555555556,0.9993055555555556,0.990169739753463,0.9849462365591398,0.98359375,0.9939183318853171,0.998220640569395,0.9897675208242853,0.9870689655172413,0.9828259172521467,0.9944943494639235,0.9946808510638298,0.989967500412126,0.9860064585575888,0.9832096837172979,0.9942062572421785,0.9964476021314387,0.9996310671447206,0.9993537738306074,0.9996198758400509,0.999569045521167,0.9999815733870572
9,train,0.02802218820563414,4.315504312515259,0.995920138888889,0.9961805555555555,0.9954861111111111,0.9939236111111112,0.9980902777777778,0.9885964749744266,0.978448275862069,0.9905882352941177,0.9942146369684698,0.9911347517730497,0.9870802389888647,0.9742489270386266,0.9890368050117463,0.9956546929316339,0.9893805309734514,0.9878367516498419,0.9763440860215054,0.9898119122257053,0.9949341438703141,0.9902568644818424,0.9996119699815919,0.999014999570329,0.9997741402262545,0.9997674218949253,0.9998913182348582
10,train,0.025729160852885496,4.329773902893066,0.9953993055555556,0.9984375,0.9921875,0.9921875,0.9987847222222223,0.9897476226516935,0.9913419913419913,0.9805144193296961,0.9942012177442737,0.9929328621908127,0.9902509230508624,0.9892008639308856,0.9843505477308294,0.9927620150550087,0.9946902654867257,0.9899977227836081,0.9902702702702703,0.9824287387739165,0.9934810951760105,0.9938107869142352,0.9997248947885624,0.9999604486993127,0.9994128836682148,0.999536467642378,0.9999897791443441
