epoch,phase,loss,time_seconds,avg_accuracy,adenocarcinoma_accuracy,benign_accuracy,squamous_cell_carcinoma_accuracy,avg_precision,adenocarcinoma_precision,benign_precision,squamous_cell_carcinoma_precision,avg_recall,adenocarcinoma_recall,benign_recall,squamous_cell_carcinoma_recall,avg_f1,adenocarcinoma_f1,benign_f1,squamous_cell_carcinoma_f1,avg_auc,adenocarcinoma_auc,benign_auc,squamous_cell_carcinoma_auc
1,train,0.2464651709491823,7.199103832244873,0.9458665780141845,0.9210438829787234,0.9857047872340425,0.9308510638297872,0.9201188005336339,0.9193636862314866,0.9747712094978976,0.8662215058715174,0.918776205059605,0.8363273453093812,0.9825479930191972,0.9374532768502367,0.9183189573142944,0.87588189182127,0.9786441519741743,0.9004308281474389,0.9854733924442153,0.9768972150415023,0.9979876123604857,0.9815353499306578
2,train,0.06109160091727972,5.4240946769714355,0.9864804964539008,0.9798038563829787,0.9978390957446809,0.9817985372340425,0.9797348283273606,0.9728915662650602,0.9970059880239521,0.9693069306930693,0.9797221398427807,0.9663425579655947,0.9965087281795512,0.9763151333831962,0.9797205699905146,0.9696060037523452,0.9967572960838115,0.9727984101353869,0.998603823577212,0.9976979215398522,0.9999174340389366,0.9981961151528472
3,train,0.03039044481479226,5.654951572418213,0.992076684397163,0.9884474734042553,0.9987533244680851,0.989029255319149,0.9881258569131331,0.984015984015984,0.9987512487512488,0.981610337972167,0.9881182014337105,0.9813200498132005,0.9975056123721626,0.9855289421157685,0.9881199822783356,0.9826661678513531,0.9981280419318608,0.9835657370517928,0.9995835890589754,0.9993451027401145,0.9999865067402407,0.999419157696571
4,train,0.022723134689434293,5.591227769851685,0.9943484042553191,0.9915226063829787,0.9996675531914894,0.9918550531914894,0.9915218138606963,0.9885,0.9995016197358585,0.9865638218462304,0.9915204089638596,0.9860349127182045,0.9995016197358585,0.9890246944375156,0.9915200875999138,0.9872659176029962,0.9995016197358585,0.9877927254608869,0.9995736036977597,0.9993829935259085,0.9999733687563057,0.9993644488110651
5,train,0.01464307954085327,5.660061359405518,0.9972296099290779,0.995844414893617,0.9993351063829787,0.9965093085106383,0.9958453804871635,0.9940149625935162,0.999001996007984,0.9945191828599901,0.9958454642725184,0.9935194416749751,0.999001996007984,0.9950149551345963,0.9958453811994991,0.993767140363999,0.999001996007984,0.9947670072265138,0.9999449581920338,0.9999046501393575,0.9999928172070615,0.9999374072296825
6,train,0.012734483368091033,5.7391016483306885,0.997728280141844,0.996592420212766,0.9995844414893617,0.9970079787234043,0.9965929604648772,0.9960019990004998,0.9992522432701895,0.9945246391239423,0.9965924132575568,0.993767140363999,0.99950137122912,0.9965087281795512,0.9965919338016039,0.9948833146137527,0.9993767917237941,0.9955156950672646,0.9999271070610399,0.999878217957592,0.999999191849642,0.9999039113758859
7,train,0.008397622931218568,5.688006639480591,0.9987256205673759,0.9980884308510638,0.999501329787234,0.9985871010638298,0.9980883799969256,0.9977528089887641,0.9990029910269193,0.9975093399750934,0.9980884031198176,0.9965087281795512,0.9995012468827931,0.9982552342971087,0.9980881950438377,0.997130380536494,0.9992520568436799,0.9978821477513392,0.9999273051056622,0.9998828968466393,0.9999743224834946,0.9999246959868525
8,train,0.00941762238909042,5.667682409286499,0.9972296099290779,0.995844414893617,0.999750664893617,0.99609375,0.9958453948811465,0.9942586120818772,0.9995011224744326,0.9937764500871297,0.9958455049265639,0.9932668329177058,0.999750499001996,0.9945191828599901,0.9958453159946185,0.9937624750499002,0.9996257951852314,0.9941476777487237,0.9998699681449773,0.999817552851852,0.9999996268678993,0.9997927247151805
9,train,0.004349863871132758,5.702199697494507,0.9987810283687945,0.9981715425531915,0.9996675531914894,0.9985039893617021,0.9981709044557849,0.9977522477522478,0.9992529880478087,0.9975074775672981,0.9981707821684337,0.9967564870259481,0.9997508719481814,0.9980049875311721,0.9981707191159419,0.9972541188217674,0.9995018679950187,0.9977561705310396,0.9999829105279306,0.9999726991679652,0.9999996582179383,0.9999763741978884
10,train,0.00833764355864216,5.674115419387817,0.998614804964539,0.9979222074468085,0.9999168882978723,0.9980053191489362,0.9979237451140218,0.9970074812967581,1.0,0.9967637540453075,0.9979231871334081,0.9967589129892794,0.9997503744383425,0.9972602739726028,0.9979234351594682,0.9968831816481736,0.9998751716389964,0.9970119521912351,0.9999794799840188,0.9999681402262715,1.0,0.9999702997257851
1,val,0.0579795439747007,0.6582643985748291,0.9887152777777777,0.9830729166666666,1.0,0.9830729166666666,0.9833184257602863,0.9941860465116279,1.0,0.9557692307692308,0.9836965174129354,0.957089552238806,1.0,0.994,0.9832649916747433,0.9752851711026616,1.0,0.9745098039215686,0.9991564859102172,0.9986567164179104,1.0,0.9988127413127413
2,val,0.024414855652139522,0.5677001476287842,0.9952256944444443,0.9928385416666666,1.0,0.9928385416666666,0.9928245270711024,1.0,1.0,0.9784735812133072,0.9931592039800995,0.9794776119402985,1.0,1.0,0.992917368574956,0.9896324222431668,1.0,0.9891196834817013,0.9999715178931597,0.9999589552238806,1.0,0.9999555984555984
3,val,0.012715205408312613,0.6201632022857666,0.997829861111111,0.9967447916666666,1.0,0.9967447916666666,0.9966996699669967,1.0,1.0,0.9900990099009901,0.9968905472636815,0.9906716417910447,1.0,1.0,0.9967796133360066,0.9953139643861293,1.0,0.9950248756218906,0.9999974692176185,0.9999962686567164,1.0,0.9999961389961389
4,val,0.009581072645535945,0.5746524333953857,0.9986979166666666,0.998046875,1.0,0.998046875,0.9980462750511437,0.9981308411214953,1.0,0.9960079840319361,0.998089552238806,0.996268656716418,1.0,0.998,0.9980672921849392,0.9971988795518207,1.0,0.997002997002997,0.9999943165446896,0.999990671641791,1.0,0.999992277992278
5,val,0.0038236565502908584,0.5636849403381348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,val,0.008803009646120094,0.5604419708251953,0.9986979166666666,0.998046875,1.0,0.998046875,0.9980462750511437,0.9981308411214953,1.0,0.9960079840319361,0.998089552238806,0.996268656716418,1.0,0.998,0.9980672921849392,0.9971988795518207,1.0,0.997002997002997,0.9999936946541425,0.9999888059701493,1.0,0.999992277992278
7,val,0.003774036475685231,0.5633037090301514,0.9995659722222223,0.9993489583333334,1.0,0.9993489583333334,0.9993346640053226,1.0,1.0,0.998003992015968,0.9993781094527363,0.9981343283582089,1.0,1.0,0.9993557640616464,0.9990662931839402,1.0,0.999000999000999,1.0,1.0,1.0,1.0
8,val,0.002592737788224516,0.55924391746521,0.9995659722222223,0.9993489583333334,1.0,0.9993489583333334,0.9993346640053226,1.0,1.0,0.998003992015968,0.9993781094527363,0.9981343283582089,1.0,1.0,0.9993557640616464,0.9990662931839402,1.0,0.999000999000999,0.9999962038264277,0.9999944029850747,1.0,0.9999942084942084
9,val,0.003127857000739217,0.5600917339324951,0.998263888888889,0.9973958333333334,1.0,0.9973958333333334,0.9973544973544973,1.0,1.0,0.9920634920634921,0.9975124378109452,0.9925373134328358,1.0,1.0,0.9974235393009735,0.9962546816479401,1.0,0.9960159362549801,0.9999987346088094,0.9999981343283583,1.0,0.9999980694980695
10,val,0.0012837971976106626,0.5479626655578613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
