epoch,phase,loss,time_seconds,avg_accuracy,glioma_accuracy,meningioma_accuracy,no_tumor_accuracy,pituitary_accuracy,avg_precision,glioma_precision,meningioma_precision,no_tumor_precision,pituitary_precision,avg_recall,glioma_recall,meningioma_recall,no_tumor_recall,pituitary_recall,avg_f1,glioma_f1,meningioma_f1,no_tumor_f1,pituitary_f1,avg_auc,glioma_auc,meningioma_auc,no_tumor_auc,pituitary_auc
1,train,0.779525119860967,4.103266954421997,0.8780208333333333,0.9008333333333334,0.80875,0.926875,0.875625,0.7584611023425788,0.7981481481481482,0.7350119904076738,0.769298245614035,0.7313860252004581,0.763821718937258,0.7696428571428572,0.4679389312977099,0.9088082901554404,0.908896797153025,0.749813804071374,0.7836363636363637,0.5718283582089553,0.8332541567695962,0.8105363376705808,0.9278098801715561,0.9338009510869565,0.8661650517290406,0.9724657673054968,0.9388077505647304
2,train,0.2800097010533015,2.2918450832366943,0.9532291666666667,0.951875,0.9114583333333334,0.98125,0.9683333333333334,0.9103381025345836,0.9329446064139941,0.8317054845980466,0.9496402877697842,0.9270620313565099,0.906857433027094,0.8556149732620321,0.8463302752293578,0.9575129533678757,0.9679715302491103,0.9080494547476157,0.8926080892608089,0.8389541492989769,0.9535603715170279,0.947075208913649,0.9844443080976775,0.9858790864212608,0.9625215871314424,0.9970206240584742,0.9923559347795324
3,train,0.18220163236061732,2.111328363418579,0.9680208333333333,0.9635416666666666,0.9416666666666667,0.9925,0.974375,0.9392803944084086,0.9444967074317968,0.8837555886736215,0.9793601651186791,0.9495091164095372,0.9372232099034457,0.8964285714285715,0.9053435114503817,0.983419689119171,0.9637010676156583,0.9380481448831207,0.9198350893266147,0.8944193061840121,0.9813857290589452,0.9565524549629106,0.9931585141412891,0.9926894895186334,0.9847984426606006,0.9992509677027109,0.995895156683211
4,train,0.1240500570833683,2.134706974029541,0.9764583333333334,0.9735416666666666,0.956875,0.993125,0.9822916666666667,0.9550421564109582,0.9559633027522936,0.9123595505617977,0.9844236760124611,0.9674220963172805,0.9535820802276209,0.9295272078501338,0.9311926605504587,0.9813664596273292,0.9722419928825623,0.9542396458574771,0.9425599276345545,0.9216799091940976,0.9828926905132193,0.969826056088037,0.9958958487782507,0.9957285836942755,0.9903788388312647,0.9996346841111079,0.9978412884763546
5,train,0.10253912962973118,2.1060917377471924,0.9788541666666667,0.9758333333333333,0.9614583333333333,0.9958333333333333,0.9822916666666667,0.9597707525394766,0.9555353901996371,0.9264036418816388,0.991675338189386,0.9654686398872445,0.9587279738978264,0.9401785714285714,0.9327731092436975,0.9875647668393782,0.9743954480796586,0.9592248831749415,0.9477947794779478,0.9295774647887324,0.9896157840083074,0.9699115044247788,0.9971304735552919,0.9969526397515529,0.9932216838715904,0.9999035337192885,0.998444036878736
6,train,0.07950598308195671,2.097247362136841,0.9862500000000001,0.9845833333333334,0.9745833333333334,0.996875,0.9889583333333334,0.9736627944964974,0.9711711711711711,0.9512937595129376,0.9927536231884058,0.9794326241134752,0.9732006581284491,0.9625,0.9556574923547401,0.9917269906928645,0.9829181494661922,0.9734247773213323,0.9668161434977578,0.9534706331045004,0.992240041386446,0.9811722912966252,0.9983766234736964,0.9982004561335404,0.9963347853196998,0.9998494541092688,0.9991217983322763
7,train,0.05860169046868881,2.139385938644409,0.9855208333333333,0.9827083333333333,0.9735416666666666,0.9966666666666667,0.9891666666666666,0.9719694360013337,0.964189794091316,0.9484066767830045,0.9917098445595854,0.9835714285714285,0.9719046309713618,0.9616071428571429,0.9549274255156608,0.9917098445595854,0.9793741109530584,0.9719326861865467,0.9628967367009388,0.951655881233346,0.9917098445595854,0.9814682822523164,0.9987397221699101,0.9985503202639752,0.9970945697098663,0.9999378508555641,0.9993761478502352
8,train,0.06670676280433933,2.122084379196167,0.9886458333333333,0.9875,0.9797916666666666,0.9964583333333333,0.9908333333333333,0.9784502571264604,0.9800904977375565,0.9576719576719577,0.9937565036420395,0.9822820694542878,0.9774614584830861,0.9661016949152542,0.9686544342507645,0.9886128364389234,0.9864768683274021,0.9779326770010903,0.9730458221024259,0.9631318890155834,0.9911779968863519,0.984375,0.9990759564618268,0.9991290345498318,0.9978115115020441,0.9998601377454205,0.9995031420500108
9,train,0.05251862784847617,2.1103477478027344,0.9911458333333334,0.9879166666666667,0.9839583333333334,0.9991666666666666,0.9935416666666667,0.9830366118309483,0.9758281110116384,0.9666413949962093,0.9989626556016598,0.9907142857142858,0.9827999459438739,0.9723461195361285,0.9747706422018348,0.9968944099378882,0.9871886120996441,0.9829121925419737,0.9740840035746202,0.970688998858013,0.9979274611398964,0.9889483065953654,0.9993343907025443,0.9990752053933906,0.9985589604548273,0.999990819852016,0.999712577109943
10,train,0.055914540169760586,2.23854398727417,0.9923958333333334,0.99125,0.98625,0.9977083333333333,0.994375,0.9851440167007542,0.98125,0.9747899159663865,0.9937888198757764,0.9907473309608541,0.985225310767332,0.98125,0.9747899159663865,0.9948186528497409,0.9900426742532006,0.9851845657347698,0.98125,0.9747899159663865,0.9943034697048162,0.9903948772678762,0.9992680685900657,0.9990896739130436,0.9983038344370846,0.9999543338895232,0.9997244321206111
