epoch,phase,loss,time_seconds,avg_accuracy,glioma_accuracy,meningioma_accuracy,no_tumor_accuracy,pituitary_accuracy,avg_precision,glioma_precision,meningioma_precision,no_tumor_precision,pituitary_precision,avg_recall,glioma_recall,meningioma_recall,no_tumor_recall,pituitary_recall,avg_f1,glioma_f1,meningioma_f1,no_tumor_f1,pituitary_f1,avg_auc,glioma_auc,meningioma_auc,no_tumor_auc,pituitary_auc
1,train,1.335914880434672,4.009571313858032,0.7394791666666667,0.75125,0.72125,0.7664583333333334,0.7189583333333334,0.4776124371735005,0.46605504587155966,0.48325358851674644,0.4426470588235294,0.5184940554821664,0.48613035830936757,0.45357142857142857,0.3083969465648855,0.6238341968911917,0.5587188612099644,0.4729869611436613,0.4597285067873303,0.3765144454799627,0.5178494623655914,0.5378554299417608,0.7440227054239817,0.7367493206521738,0.6829979877075177,0.8077073045510738,0.7486362087851614
2,train,1.1997163073221842,2.2689402103424072,0.8698958333333333,0.8970833333333333,0.796875,0.9216666666666666,0.8639583333333334,0.7444999609039018,0.799047619047619,0.7296551724137931,0.7404081632653061,0.7088888888888889,0.7500718783023584,0.7477718360071302,0.404434250764526,0.9398963730569948,0.9081850533807829,0.7293848469190992,0.7725598526703499,0.5204131824889326,0.828310502283105,0.7962558502340094,0.9171734092587341,0.934129220426121,0.8305854622711238,0.9742859265964563,0.9296930277412354
3,train,0.9807127070426941,2.1680338382720947,0.8866666666666667,0.92125,0.8072916666666666,0.9383333333333334,0.8797916666666666,0.7872178613487301,0.8594961240310077,0.7947932618683001,0.7780548628428927,0.7165271966527197,0.7832961615802958,0.7919642857142857,0.39618320610687024,0.9699481865284975,0.9750889679715302,0.7606620465678876,0.8243494423791822,0.5287824758023434,0.8634686346863468,0.826047633403678,0.9441134804215099,0.9588166003493789,0.8751457818412476,0.9833502442056056,0.9591412952898076
4,train,0.7382368397712707,2.1409718990325928,0.8910416666666666,0.9270833333333334,0.809375,0.9452083333333333,0.8825,0.7959951656528769,0.8579387186629527,0.8055987558320373,0.8001707941929974,0.7202723939235202,0.7922288744215484,0.8242640499553969,0.39602446483180426,0.9699792960662525,0.9786476868327402,0.7696293152000537,0.8407643312101911,0.531009738595592,0.8769302760879738,0.8298129149064575,0.9576802467178102,0.9681229554922592,0.8987992650742107,0.988657387157081,0.9751413791476895
5,train,0.5768247556686401,2.1906933784484863,0.9059375000000001,0.9322916666666666,0.8322916666666667,0.9577083333333334,0.9014583333333334,0.8223577461995237,0.8704566635601119,0.8206106870229007,0.8438628158844765,0.7545008183306056,0.8198061440915533,0.8339285714285715,0.492742551566081,0.9689119170984456,0.9836415362731152,0.8058986344718545,0.8518011855905153,0.6157517899761337,0.9020742884708153,0.8539672738499536,0.9651096084177984,0.9712735345496895,0.9152258596206899,0.9915290716133782,0.9824099678874358
6,train,0.4734092684586843,2.3091745376586914,0.9214583333333333,0.9370833333333334,0.8554166666666667,0.9672916666666667,0.9260416666666667,0.8472838350791405,0.8829588014981273,0.8145491803278688,0.8820754716981132,0.8095518867924528,0.8484736532279037,0.8419642857142857,0.6077981651376146,0.9669079627714581,0.9772241992882562,0.8415469874666615,0.8619744058500914,0.6961471103327496,0.9225456339417859,0.8855207997420187,0.9695719464583281,0.9762618885869565,0.9239868060153222,0.9930538449771227,0.9849852462539113
7,train,0.38840422213077547,2.4162819385528564,0.9305208333333332,0.9397916666666667,0.87125,0.9708333333333333,0.9402083333333333,0.8635046063473795,0.8968481375358166,0.8143767060964513,0.8954937679769894,0.8472998137802608,0.8652089504483522,0.8383928571428572,0.6837280366692131,0.9678756476683937,0.9708392603129445,0.8612856645374517,0.8666359021688971,0.7433554817275747,0.9302788844621513,0.9048723897911833,0.9744773735246105,0.9787111801242236,0.9363759565960184,0.9956636110003985,0.9871587463778017
8,train,0.37155931055545804,2.460547924041748,0.9364583333333334,0.945625,0.8808333333333334,0.9720833333333333,0.9472916666666666,0.877241741885766,0.9291417165668663,0.8011456628477905,0.9094488188976378,0.8692307692307693,0.8751564292197702,0.8305084745762712,0.7484709480122325,0.9565217391304348,0.9651245551601424,0.8745091234594624,0.8770607630711258,0.7739130434782608,0.9323915237134208,0.9146711635750422,0.9752607164671632,0.9793567609784201,0.9393068823102872,0.995113461228995,0.9872657613509505
9,train,0.32227078258991243,2.2821130752563477,0.9447916666666667,0.9441666666666667,0.8975,0.98,0.9575,0.8926628881297594,0.9112825458052073,0.8243243243243243,0.937625754527163,0.8974189278623428,0.8914346618162634,0.8429973238180196,0.7928134556574924,0.9648033126293996,0.9651245551601424,0.8912835956706872,0.8758109360518999,0.8082618862042089,0.9510204081632653,0.9300411522633745,0.9787793475528455,0.9800638142224875,0.948946872011518,0.9969187103296105,0.9891879936477654
10,train,0.31067449033260347,2.266829013824463,0.9457291666666667,0.9466666666666667,0.8964583333333334,0.9785416666666666,0.96125,0.8953504004249401,0.9210526315789473,0.8103975535168195,0.9389002036659878,0.9110512129380054,0.892640510866135,0.84375,0.8097784568372803,0.9554404145077721,0.9615931721194879,0.8933836048608912,0.880708294501398,0.8100878868933894,0.9470980996404725,0.9356401384083045,0.9801294281811681,0.9804304153726707,0.9519589716566818,0.9969163215812904,0.9912120041140293
