epoch,phase,loss,time_seconds,avg_accuracy,glioma_accuracy,meningioma_accuracy,no_tumor_accuracy,pituitary_accuracy,avg_precision,glioma_precision,meningioma_precision,no_tumor_precision,pituitary_precision,avg_recall,glioma_recall,meningioma_recall,no_tumor_recall,pituitary_recall,avg_f1,glioma_f1,meningioma_f1,no_tumor_f1,pituitary_f1,avg_auc,glioma_auc,meningioma_auc,no_tumor_auc,pituitary_auc
1,train,0.33185800741116206,6.895685911178589,0.9478125,0.953125,0.9175,0.9691666666666666,0.9514583333333333,0.8960889567322446,0.9126034958601656,0.8653846153846154,0.9016715830875123,0.9046961325966851,0.8981167386899463,0.8841354723707665,0.8256880733944955,0.950259067357513,0.9323843416370107,0.8967184778582145,0.8981439565414214,0.8450704225352113,0.9253279515640767,0.9183315807921486,0.9830786345840214,0.9852122123257331,0.9666553257598847,0.9932741115036716,0.9871728887467964
2,train,0.09092176545411348,3.458099126815796,0.9851041666666667,0.9858333333333333,0.9741666666666666,0.9945833333333334,0.9858333333333333,0.9713913847674015,0.9671694764862466,0.9540229885057471,0.9905956112852664,0.9737774627923459,0.9709432995248359,0.9723461195361285,0.9511077158135982,0.9823834196891191,0.9779359430604982,0.9711596771543449,0.9697508896797153,0.9525631216526397,0.9864724245577523,0.9758522727272727,0.9974964998568241,0.9976894683255422,0.9948064640298452,0.9991644993278435,0.9983255677440657
3,train,0.05679600467905402,3.4379403591156006,0.9906250000000001,0.989375,0.985625,0.9964583333333333,0.9910416666666667,0.9817948215415657,0.9802336028751123,0.9732620320855615,0.9906928645294726,0.9829907866761163,0.9815795430131539,0.9741071428571428,0.9740061162079511,0.9917184265010351,0.9864864864864865,0.9816839041854196,0.9771607702642185,0.9736339319831868,0.9912053802379721,0.984735534256301,0.9991871584890697,0.9992609666149068,0.9983829355696375,0.999882818111028,0.9992219136607066
4,train,0.04728953785728663,3.4478189945220947,0.9933333333333334,0.99375,0.9883333333333333,0.9983333333333333,0.9929166666666667,0.9871913527515661,0.9848754448398577,0.9808282208588958,0.9958549222797928,0.9872068230277186,0.9872989392323435,0.9883928571428572,0.9763358778625955,0.9958549222797928,0.9886120996441281,0.9872429483913312,0.9866310160427807,0.9785768936495792,0.9958549222797928,0.9879089615931721,0.9995571216145874,0.9995977290372671,0.9989726371967891,0.9999721679918395,0.999685952232454
5,train,0.03989741913198183,3.4621036052703857,0.9928125000000001,0.99375,0.98875,0.99875,0.99,0.9864496408589375,0.9866071428571429,0.9793577981651376,0.9968911917098445,0.9829424307036247,0.9864496408589375,0.9866071428571429,0.9793577981651376,0.9968911917098445,0.9829424307036247,0.9864496408589375,0.9866071428571429,0.9793577981651376,0.9968911917098445,0.9829424307036247,0.9993537734001037,0.9994980104813664,0.9989072883059924,0.9998162547034067,0.9991935401096491
6,train,0.044799409708939496,3.438704490661621,0.9925,0.9941666666666666,0.9866666666666667,0.9952083333333334,0.9939583333333334,0.9854524109329632,0.9901433691756273,0.9748091603053435,0.9896049896049897,0.9872521246458924,0.984961873738188,0.9848484848484849,0.9762996941896025,0.9865284974093265,0.9921708185053381,0.9852030990649169,0.9874888293118856,0.975553857906799,0.9880643487285937,0.9897053603123891,0.9994411145044179,0.9996912799426955,0.9988306605574646,0.9995509048780322,0.9996916126394791
7,train,0.030861500197400648,3.440596342086792,0.9938541666666667,0.995,0.990625,0.998125,0.9916666666666667,0.9883107893851937,0.9901610017889088,0.9831675592960979,0.9948293691830403,0.9850852272727273,0.9882886147551335,0.9883928571428572,0.9824159021406728,0.9958592132505176,0.9864864864864865,0.9882992775399576,0.9892761394101877,0.982791586998088,0.9953440248318676,0.9857853589196873,0.999644959304415,0.9998245826863353,0.9993633328779457,0.9999281788422429,0.999463742811136
8,train,0.017085488125837097,3.4548487663269043,0.9965625,0.9947916666666666,0.9964583333333333,0.9989583333333333,0.9960416666666667,0.9932526932816832,0.9884135472370766,0.9923780487804879,0.9979253112033195,0.9942938659058488,0.993252422177699,0.9892952720785013,0.9946524064171123,0.9968911917098445,0.9921708185053381,0.9932518325490092,0.9888542131074454,0.9935139259824495,0.9974079834110938,0.9932312076950481,0.9999171608642727,0.9998530609513357,0.9998827061357601,0.999997027649614,0.9999358487203811
9,train,0.013985124093402797,3.4669008255004883,0.9978125,0.9964583333333333,0.99625,0.999375,0.9991666666666666,0.9955996045107167,0.9902222222222222,0.9946360153256705,0.9989626556016598,0.9985775248933144,0.9956861204578826,0.9946428571428572,0.9915966386554622,0.9979274611398964,0.9985775248933144,0.995640983349174,0.9924276169265034,0.9931140015302219,0.9984447900466563,0.9985775248933144,0.9999404956901053,0.9999461374223603,0.9999159685748731,0.9999432551289932,0.999956621634195
10,train,0.022013656847023715,3.466736078262329,0.9955208333333334,0.9958333333333333,0.9916666666666667,0.99875,0.9958333333333333,0.9915196460745646,0.9937163375224417,0.9839816933638444,0.9968911917098445,0.9914893617021276,0.9912698128895303,0.9883928571428572,0.985485103132162,0.9968911917098445,0.9943100995732574,0.9913922979832204,0.991047448522829,0.9847328244274809,0.9968911917098445,0.9928977272727273,0.9998442704102171,0.9998391401397516,0.999615731295513,0.9999951361539136,0.9999270740516902
