epoch,phase,loss,time_seconds,avg_accuracy,COVID19_accuracy,NORMAL_accuracy,PNEUMONIA_accuracy,TURBERCULOSIS_accuracy,avg_precision,COVID19_precision,NORMAL_precision,PNEUMONIA_precision,TURBERCULOSIS_precision,avg_recall,COVID19_recall,NORMAL_recall,PNEUMONIA_recall,TURBERCULOSIS_recall,avg_f1,COVID19_f1,NORMAL_f1,PNEUMONIA_f1,TURBERCULOSIS_f1,avg_auc,COVID19_auc,NORMAL_auc,PNEUMONIA_auc,TURBERCULOSIS_auc
1,train,1.3062741253111096,4.636971950531006,0.7794270833333333,0.8508680555555556,0.7763888888888889,0.6333333333333333,0.8571180555555555,0.41717177251106596,0.19907407407407407,0.4965034965034965,0.7216699801192843,0.2514395393474088,0.43755420488738356,0.27505330490405117,0.6115896632732968,0.6313043478260869,0.2322695035460993,0.4234975114206475,0.23097582811101164,0.5480701754385965,0.673469387755102,0.24147465437788018,0.7288348785880201,0.7492396671501148,0.8011111672024358,0.6703323295062426,0.6946563504932873
2,train,1.0569875770144992,2.771639585494995,0.9003472222222222,0.9289930555555556,0.8914930555555556,0.8324652777777778,0.9484375,0.728533809004615,0.5849673202614379,0.7161716171617162,0.8662551440329218,0.7467411545623837,0.7004847396062439,0.3882863340563991,0.84765625,0.8524732426959791,0.7135231316725978,0.708050812241224,0.4667535853976532,0.776386404293381,0.8593089371628517,0.72975432211101,0.9208932290825856,0.8743674879924548,0.9467670549665178,0.9010877512459696,0.9613506221253999
3,train,0.6367300305101606,2.709059476852417,0.925607638888889,0.9427083333333334,0.9142361111111111,0.8899305555555556,0.9555555555555556,0.8095686127707917,0.8090909090909091,0.8135458167330677,0.890893947806774,0.7247437774524158,0.7470928041143894,0.38197424892703863,0.7970335675253708,0.9301449275362319,0.8792184724689165,0.7571986118244067,0.5189504373177842,0.805205047318612,0.9100964265456608,0.7945425361155698,0.9578447525472689,0.9417078367120604,0.9551948471825933,0.9560654997176736,0.9784108265767483
4,train,0.4084294042653508,2.73573637008667,0.9403645833333333,0.9559027777777778,0.9262152777777778,0.9130208333333333,0.9663194444444444,0.8618457174823825,0.8808664259927798,0.8932842686292548,0.8952865559721478,0.7779456193353474,0.7919596706915172,0.524731182795699,0.75859375,0.968143643208804,0.9163701067615658,0.8124809589408072,0.6576819407008087,0.8204478242501057,0.9302908028384583,0.8415032679738562,0.9715740231757248,0.965398072842101,0.9621062360491073,0.972329018910326,0.9864627649013651
5,train,0.33660409185621476,2.6764209270477295,0.950954861111111,0.9684027777777777,0.9348958333333334,0.9263888888888889,0.9741319444444444,0.885909102400699,0.8898071625344353,0.899822695035461,0.9141372709871479,0.8398692810457516,0.8418333622613783,0.6946236559139785,0.7948316366483946,0.968143643208804,0.9097345132743363,0.8595101824481413,0.7801932367149759,0.8440748440748441,0.940365682137834,0.8734069668649108,0.9787064814748963,0.9760021119538619,0.9711240113394533,0.9785679791204474,0.9891318234858228
6,train,0.29295705581704773,2.499053716659546,0.9568576388888889,0.9715277777777778,0.9423611111111111,0.9359375,0.9776041666666667,0.8957327133360405,0.8787878787878788,0.902127659574468,0.927660753880266,0.8743545611015491,0.8623801631694263,0.75,0.8300704776820673,0.9687409551374819,0.900709219858156,0.8772487018682738,0.8093023255813954,0.8646003262642741,0.9477559110859408,0.8873362445414847,0.9823486558396163,0.9818104424940096,0.9742778382651873,0.9805234326685524,0.9927829099307158
7,train,0.2802914714647664,2.5054564476013184,0.9593750000000001,0.971875,0.9475694444444445,0.9378472222222223,0.9802083333333333,0.8991142244549036,0.8554778554778555,0.8984438984438985,0.9350941275639224,0.9074410163339383,0.8744001351042286,0.7858672376873662,0.8603921568627451,0.9632416787264834,0.8880994671403197,0.8862070328646967,0.8191964285714286,0.8790064102564102,0.9489592244083263,0.8976660682226212,0.9844741198181898,0.9838476012316376,0.9788252781603166,0.9817169621190955,0.9935066377617091
8,train,0.2257447909977701,2.509613513946533,0.9655381944444446,0.9756944444444444,0.9553819444444445,0.9486111111111111,0.9824652777777778,0.9132556643614144,0.8701594533029613,0.9178981937602627,0.9448198198198198,0.9201451905626135,0.8920922766174265,0.821505376344086,0.8768627450980392,0.9710648148148148,0.898936170212766,0.90230592314605,0.8451327433628318,0.896911351784998,0.9577625570776256,0.9094170403587444,0.9880665667268793,0.9894865312173179,0.981481102585962,0.9860489456741898,0.9952496874300472
9,train,0.22752368847529095,2.5091030597686768,0.9644965277777778,0.9786458333333333,0.9505208333333334,0.9460069444444444,0.9828125,0.9157611239773338,0.8944954128440367,0.9096934548467275,0.9415894411682112,0.9172661870503597,0.8932571055106656,0.8351177730192719,0.8618524332810047,0.9701967592592593,0.9058614564831261,0.9040303889025931,0.8637873754152824,0.8851269649334945,0.9556790651275474,0.9115281501340483,0.9882564585945277,0.9908051966335887,0.9810365896761668,0.9856100200135031,0.995574028054852
10,train,0.19667086439828077,2.508880138397217,0.967013888888889,0.9795138888888889,0.9526041666666667,0.9503472222222222,0.9855902777777777,0.9197877844626499,0.8839285714285714,0.9060240963855422,0.9494174481386758,0.9397810218978102,0.9039596326594731,0.8571428571428571,0.8785046728971962,0.968686575819078,0.911504424778761,0.9116909658092358,0.8703296703296703,0.8920521945432978,0.9589552238805971,0.9254267744833783,0.9896864479409925,0.9917815920080926,0.9824484477963469,0.9877840409031197,0.9967317110564107
